类型,书名,出版日期,出版社,现价,原价,折扣,详细说明,图片地址
Go 语言, Go语言高并发与微服务实战/Go语言与云原生系列 ,2020-04-01,中国铁道,¥53.85,¥89.00,6.06折 ,,https://img3m6.ddimg.cn/75/12/11135296236-1_b_1.jpg
Go 语言, 【可开发票，量大优惠】Go语言实战+Go语言**编程+Go Web编程 全三册 零基础web前端开发 程序员数据分析程序 部分书籍卖价高于定价，介者慎拍 亲爱的顾客，本店谢绝恶意差评，有问题及时联系客服，赠品随机可开发票,2021-01-01,科学出版社,¥219.22,¥237.80,9.22折 ,,https://img3m4.ddimg.cn/83/23/11441205254-1_b_1.jpg
Go 语言, Go语言编程 【满额立减 下单速发 可开发票 正版图书】,2012-08-01,人民邮电出版社,¥12.06,¥75.85,1.59折 ,,https://img3m5.ddimg.cn/40/10/11435016325-1_b_1.jpg
Go 语言, Go语言高级开发与实战 廖显东 机械工业出版社 9787111696858 ,2022-01-01,机械工业出版社,¥73.00,¥78.00,9.36折 ,,https://img3m6.ddimg.cn/69/2/11426532846-1_b_1.jpg
Go 语言, Go语言实战 go语言书籍 go语言编程 go语言教程 管道 测试 go语言程序设计 Go语言入门教材书籍 Go语言学习 【需要开票的用户 请联系客服】,,人民邮电出版社,¥75.00,¥80.40,9.33折 ,,https://img3m3.ddimg.cn/12/33/11421635853-1_b_1.jpg
Go 语言, Go语言极简一本通：零基础入门到项目实战 ,2023-02-17,电子工业出版社,¥85.00,¥157.00,5.42折 ,,https://img3m2.ddimg.cn/30/8/11386875882-1_b_2.jpg
Go 语言, Go语言从入门到项目实践（超值版） 程序设计 清华大学出版社 正版书籍 【正版现货，售后无忧，可开发票，可团购】,2022-07-01,清华大学出版社,¥76.61,¥99.00,7.74折 ,,https://img3m9.ddimg.cn/22/34/11412266899-1_b_1.jpg
Go 语言, Go语言高级编程 柴树杉曹春辉著 go语言进阶实战 云计算云存储区块链时代重要编程语言 Go语言编程自学宝典图书 GO编 ,2020-11-09,人民邮电出版社,¥117.48,¥117.48,10折,,https://img3m6.ddimg.cn/31/10/11433769906-1_b_1.jpg
Go 语言, Go语言高级编程 Go语言核心编程 GoWeb编程并发编程 Go语言实战 Go程序设计语言 Go语言编程入门与实战 go ,2020-11-09,东南大学出版社,¥527.87,¥543.12,9.72折 ,,https://img3m6.ddimg.cn/51/30/11433769926-1_b_1.jpg
Go 语言," Go语言学习指南:惯例模式与编程实践 乔恩·博德纳（JonBodner）著,杨波,曾智,万学凡 译 机械工业出版社【正版 本店支持开电子发票，请确认收货以后联系客服提供您的邮箱地址",2022-05-01,机械工业出版社,¥104.35,¥119.00,8.77折 ,适读人群 ：Go语言初学者以及中级水平的开发人员 Go语言正迅速成为构建Web服务的优选语言。尽管市面上有大量的教程向具有其他编程语言经验的开发者讲授Go语法，但要熟练掌握Go语言，这些教程远远不够，它们并没有介绍Go语言的惯例模式与编程实践。本书将指导读者学习编写清晰且符合Go语言惯例的代码所需的关键知识。 无论你的开发经验和水平如何，都将通过本书学会Go开发者的思考模式。作者JoBodner精心介绍了经验丰富的Go开发者所采用的设计模式，并说明了使用这些模式的理由。你还将提前了解Go即将发布的泛型特性，以及它是如何从设计到实现，一步步融入Go语言的。 通过本书，你将： 学习如何在Go语言中编写惯例代码并设计Go项目。 理解Go语言设计中的权衡。 学会为独立开发人员或团队构建Go语言的开发环境。 了解如何以及何时,https://img3m8.ddimg.cn/77/4/11407673948-1_b_1.jpg
